droger
term|score|std|term frequency|document frequency
narkotika|0.756157|0.027677|1866|539
narkotikamissbruk|0.633712|0.014404|186|103
alkohol|0.630786|0.028304|2436|873
missbruket|0.600448|0.033414|364|191
internet|0.598278|0.023775|1745|771
kriminalitet|0.595159|0.017782|841|470
drogerna|0.586916|0.026676|88|52
preparat|0.580943|0.022837|415|211
ungdomar|0.579836|0.012473|5838|2288
cannabis|0.562270|0.038575|75|32
heroin|0.554288|0.031187|61|31
missbrukare|0.553893|0.026114|660|243
våldet|0.548921|0.031008|525|277
missbruk|0.547990|0.011330|1646|783
intagna|0.544180|0.027941|689|225
våldsbrott|0.541302|0.037215|694|363
våld|0.541128|0.027577|3869|1116
narkotikamissbruket|0.537839|0.029969|178|84
dopningspreparat|0.532961|0.035844|34|9
steroider|0.518935|0.036505|82|29
skatt
term|score|std|term frequency|document frequency
skatten|0.750808|0.010978|3581|1453
inkomstskatt|0.708504|0.017908|661|359
fastighetsskatt|0.702722|0.015683|729|295
moms|0.691363|0.013391|1652|717
kommunalskatt|0.681180|0.025081|277|152
beskattning|0.676054|0.018567|2153|1094
marginalskatt|0.675167|0.021866|192|96
avgift|0.665965|0.013956|1274|788
lön|0.640624|0.015894|1689|915
skattesats|0.639498|0.021487|272|175
ränta|0.631493|0.022077|418|277
förmögenhetsskatt|0.631255|0.044364|452|227
arbetsgivaravgift|0.625312|0.030067|218|170
inkomst|0.620306|0.012539|2843|1238
skattebelastning|0.614787|0.028974|85|77
skatter|0.614476|0.018219|5215|1987
arbetsgivaravgifter|0.604196|0.030159|958|531
reavinstskatt|0.601640|0.026034|123|77
energiskatt|0.599967|0.029354|178|117
fordonsskatt|0.589520|0.028235|152|101
säkerhet
term|score|std|term frequency|document frequency
integritet|0.632020|0.027222|1056|636
trovärdighet|0.628747|0.020726|484|364
beredskap|0.595243|0.017404|1092|579
trygghet|0.592305|0.021522|4020|1960
stabilitet|0.589698|0.028358|679|420
hälsa|0.575431|0.019566|3407|1614
tillgänglighet|0.570672|0.020751|1513|915
rättssäkerhet|0.568662|0.027360|838|570
förmåga|0.564141|0.017924|3763|1862
kapacitet|0.560096|0.023637|1101|778
suveränitet|0.554666|0.018224|96|76
