droger
term|score|std|term frequency|document frequency
narkotika|0.717447|0.008303|887|325
alkohol|0.668164|0.014975|2319|647
narkotikamissbruk|0.576499|0.035792|83|68
narkotikapreparat|0.566774|0.034820|14|14
dopningsmedel|0.563584|0.027894|33|20
dopingpreparat|0.563075|0.051697|12|6
tobak|0.562432|0.031905|594|211
langning|0.552835|0.034678|90|41
drogerna|0.552193|0.051313|24|22
kokain|0.550753|0.055995|44|30
missbruk|0.549956|0.024680|1241|670
drogpåverkade|0.545186|0.023998|11|8
narkotikan|0.539517|0.036348|84|67
preparat|0.533685|0.029571|323|130
drogmissbruk|0.530099|0.049738|97|79
ungdomsgängen|0.526859|0.044895|4|4
steroider|0.525282|0.057774|77|32
missbrukare|0.519611|0.021255|461|246
missbruket|0.519258|0.028314|251|189
reklamen|0.515034|0.041414|206|132
skatt
term|score|std|term frequency|document frequency
skatten|0.700437|0.015826|975|409
avgift|0.700245|0.011823|830|500
beskattning|0.698152|0.029021|767|430
moms|0.646977|0.038744|468|245
inkomst|0.611758|0.024675|1865|1093
inkomstskatt|0.605757|0.033923|124|73
alkoholskatt|0.583074|0.023486|35|27
koldioxidskatt|0.581450|0.035549|93|48
fastighetsskatt|0.577505|0.017105|317|114
fordonsskatt|0.575626|0.023280|85|57
lön|0.571519|0.023107|1427|853
ränta|0.557801|0.031641|251|161
skatter|0.555722|0.024671|1177|607
skattesats|0.550659|0.019076|75|47
kommunalskatt|0.549888|0.035451|56|36
statsskatt|0.545374|0.048564|16|13
beskattningen|0.544021|0.023185|433|257
premie|0.537576|0.024293|56|48
avgiften|0.536112|0.032810|589|320
beskattas|0.535989|0.032600|457|297
säkerhet
term|score|std|term frequency|document frequency
tillgänglighet|0.600177|0.018723|1714|948
miljö|0.584851|0.016996|4401|2694
rättssäkerhet|0.578861|0.031706|438|323
trovärdighet|0.576274|0.021594|251|190
hälsa|0.573086|0.018618|3387|1796
effektivitet|0.569212|0.019771|760|595
arbetsmiljö|0.556687|0.011997|1555|877
kapacitet|0.555073|0.021541|1202|848
respekt|0.537635|0.032565|1176|768
trygghet|0.529862|0.015344|2600|1669
säkerheten|0.523580|0.031536|782|542
beredskap|0.519451|0.024782|734|485
tillförlitlighet|0.508279|0.031063|50|45
närvaro|0.505661|0.028003|468|309
förmåga|0.505401|0.024516|1717|1184
fred|0.497561|0.020224|1112|406
sjösäkerhet|0.496359|0.021213|74|48
rättigheter|0.492775|0.030085|6522|2193
tillit|0.490139|0.040849|122|106
öppenhet|0.488936|0.029165|605|393
trygghet
term|score|std|term frequency|document frequency
otrygghet|0.643329|0.023537|446|350
tryggheten|0.634300|0.017824|578|422
delaktighet|0.626078|0.016861|885|658
frihet|0.616347|0.015656|1212|838
gemenskap|0.579337|0.017894|443|391
inkomsttrygghet|0.572708|0.034213|65|44
grundtrygghet|0.568772|0.028202|29|29
stabilitet|0.566750|0.034802|341|244
förtroende|0.561984|0.015844|697|545
anställningstrygghet|0.557528|0.025883|157|115
rättssäkerhet|0.550284|0.039285|438|323
valfrihet|0.542899|0.033337|473|323
livskvalitet|0.540911|0.013162|528|425
arbetsglädje|0.540694|0.049042|14|13
säkerhet|0.529862|0.015344|2789|1483
välfärd|0.525941|0.012225|1766|1055
arbetsmiljö|0.521298|0.026520|1555|877
framtidstro|0.514547|0.026806|297|241
sammanhållning|0.514208|0.012144|129|111
trygga|0.513344|0.025409|1213|944
brott
term|score|std|term frequency|document frequency
övergrepp|0.767908|0.016491|1747|634
våldsbrott|0.739721|0.017343|221|154
brotten|0.739026|0.020706|268|183
brottet|0.724199|0.022376|416|259
sexualbrott|0.712313|0.019535|283|133
våld|0.658427|0.019936|4100|1152
våldtäkt|0.655086|0.027701|446|186
förseelser|0.652502|0.021271|60|48
våldet|0.646593|0.020411|730|307
hatbrott|0.635381|0.034682|192|40
våldtäkter|0.624429|0.020123|198|116
skattebrott|0.622621|0.025531|176|83
rattfylleri|0.606093|0.025643|224|106
handlingar|0.605921|0.022605|527|400
straff|0.605270|0.026135|532|340
barnpornografibrott|0.603602|0.022437|76|41
kränkningar|0.596633|0.023574|550|300
lagbrott|0.593156|0.036809|36|34
bidragsbrott|0.590524|0.054499|22|10
brottsoffer|0.590398|0.026243|373|181
brottslighet
term|score|std|term frequency|document frequency
brottsligheten|0.680903|0.021786|1303|454
kriminalitet|0.624728|0.030597|509|327
skattefusk|0.595627|0.026255|372|147
ekobrottslighet|0.594143|0.032464|52|33
smuggling|0.584735|0.028942|147|88
svartjobb|0.569881|0.058080|84|70
ekobrott|0.568299|0.045496|135|73
penningtvätt|0.566995|0.042659|151|48
brott|0.561059|0.027850|3993|1520
ekobrottsligheten|0.557222|0.050985|106|33
brottsbekämpning|0.553349|0.035911|110|78
kriminaliteten|0.546776|0.045038|113|72
påföljd|0.534689|0.034896|244|184
verksamhet|0.532195|0.019796|12082|6023
utsatthet|0.527086|0.021119|408|316
grova|0.525537|0.039017|504|302
skattebrott|0.524129|0.036800|176|83
korruption|0.523281|0.020825|300|91
våldsbrott|0.522379|0.020415|221|154
vinning|0.516569|0.024769|66|52
kriminalitet
term|score|std|term frequency|document frequency
brottslighet|0.624728|0.030597|1686|682
drogmissbruk|0.598552|0.026575|97|79
kriminaliteten|0.551696|0.052279|113|72
missbruk|0.543461|0.028546|1241|670
segregation|0.524973|0.039690|400|282
brottsligheten|0.524644|0.031519|1303|454
terrorism|0.519822|0.036359|233|78
fusk|0.519051|0.023575|272|179
droger|0.512488|0.026596|508|308
depression|0.509734|0.027928|159|128
främlingsfientlighet|0.509347|0.048154|247|120
ohälsa|0.507295|0.027984|1381|791
hemlöshet|0.505229|0.036923|311|73
fattigdom|0.502896|0.030029|821|370
narkotikamissbruk|0.497986|0.052394|83|68
smuggling|0.496795|0.033229|147|88
våldsbrott|0.493319|0.036892|221|154
knarkhandel|0.491065|0.022960|5|5
narkotika|0.489388|0.026844|887|325
extremism|0.488985|0.035372|60|30
jämlikhet
term|score|std|term frequency|document frequency
jämställdhet|0.690891|0.018970|1555|766
rättvisa|0.663376|0.023203|1058|702
delaktighet|0.607023|0.042166|885|658
demokrati|0.594918|0.036138|2162|1064
integration|0.578606|0.042210|804|477
sammanhållning|0.568244|0.037106|129|111
välfärd|0.564606|0.023791|1766|1055
ojämlikhet|0.530412|0.037295|156|131
tolerans|0.530053|0.029210|139|119
tillväxt|0.520653|0.024957|4917|2338
solidaritet|0.514230|0.032865|421|292
likformighet|0.509180|0.034256|108|62
folkhälsa|0.506233|0.044279|307|201
valfrihet|0.502473|0.055234|473|323
mäns|0.501458|0.026899|959|472
likvärdighet|0.500140|0.037275|140|92
klyftor|0.495376|0.044541|543|391
polarisering|0.491501|0.041431|48|42
öppenhet|0.490015|0.039312|605|393
värdegrund|0.484484|0.048806|209|139
solidaritet
term|score|std|term frequency|document frequency
solidariteten|0.579997|0.033831|101|73
demokrati|0.573650|0.027083|2162|1064
fred|0.569208|0.026785|1112|406
integration|0.528416|0.041981|804|477
sammanhållning|0.526671|0.028337|129|111
jämlikhet|0.514230|0.032865|484|317
respekt|0.511834|0.024180|1176|768
gemenskap|0.507486|0.045065|443|391
välfärd|0.502966|0.028420|1766|1055
samhällsmodell|0.502498|0.044510|40|38
världsordning|0.493346|0.061228|32|25
humanism|0.492454|0.034172|43|26
medmänsklighet|0.487520|0.054434|19|19
samhällsutveckling|0.485975|0.028220|231|191
välfärdsmodell|0.482928|0.029140|32|26
människorna|0.481283|0.033429|513|431
delaktighet|0.481220|0.031422|885|658
människosyn|0.478652|0.046105|63|56
rättvisa|0.475832|0.019962|1058|702
folkhälsa|0.472358|0.036116|307|201
rättvisa
term|score|std|term frequency|document frequency
jämlikhet|0.663376|0.023203|484|317
rättvis|0.658751|0.022937|896|552
likformighet|0.606661|0.039079|108|62
jämställdhet|0.559629|0.021702|1555|766
rättvist|0.557729|0.028735|513|397
förutsägbarhet|0.553975|0.047169|49|45
välfärd|0.549553|0.021093|1766|1055
stabilitet|0.545888|0.019060|341|244
rättvisare|0.543569|0.028961|188|154
konkurrensneutralitet|0.524963|0.029846|155|113
valfrihet|0.520368|0.021054|473|323
öppenhet|0.518246|0.032758|605|393
neutralitet|0.517458|0.031819|126|81
effektivitet|0.515230|0.031273|760|595
