droger
term|score|std|term frequency|document frequency
narkotika|0.738013|0.010750|1866|539
alkohol|0.608983|0.028302|2436|873
anabola|0.606421|0.046131|58|21
dopningspreparat|0.594497|0.034449|34|9
steroider|0.593058|0.037039|82|29
narkotikamissbruk|0.585728|0.029129|186|103
preparat|0.579383|0.024218|415|211
heroin|0.576792|0.035169|61|31
missbruket|0.574738|0.027872|364|191
cannabis|0.573672|0.036093|75|32
drogerna|0.570390|0.039295|88|52
narko|0.554572|0.023016|2|2
kriminalitet|0.554045|0.019116|841|470
dopingmedel|0.548453|0.050017|16|6
amfetamin|0.540051|0.034165|29|21
hasch|0.537948|0.040735|21|17
hormonpreparat|0.532976|0.044014|23|20
ecstasy|0.528857|0.047664|34|24
internet|0.519229|0.016382|1745|771
missbruk|0.517774|0.021926|1646|783
skatt
term|score|std|term frequency|document frequency
skatten|0.734763|0.009785|3581|1453
fastighetsskatt|0.716730|0.015734|729|295
moms|0.694451|0.012184|1652|717
inkomstskatt|0.685901|0.019313|661|359
kommunalskatt|0.681330|0.025672|277|152
beskattning|0.674579|0.010980|2153|1094
marginalskatt|0.668708|0.014375|192|96
skattesats|0.663742|0.021396|272|175
förmögenhetsskatt|0.652463|0.030235|452|227
avgift|0.642521|0.013134|1274|788
fordonsskatt|0.633866|0.028596|152|101
ränta|0.627922|0.029154|418|277
bolagsskattesats|0.620342|0.022176|1|1
arbetsgivaravgift|0.619423|0.033983|218|170
energiskatt|0.619293|0.016186|178|117
avkastningsskatt|0.618373|0.030032|76|51
skattebelastning|0.616441|0.033732|85|77
förvärvsinkomst|0.613116|0.019635|69|57
lön|0.609440|0.017076|1689|915
reavinstskatt|0.609252|0.023302|123|77
säkerhet
term|score|std|term frequency|document frequency
suveränitet|0.585730|0.026260|96|76
integritet|0.557070|0.020722|1056|636
stabilitet|0.545379|0.022437|679|420
trygghet|0.540825|0.012573|4020|1960
trovärdighet|0.526952|0.020388|484|364
uthållighet|0.516363|0.022422|115|97
flygsäkerhet|0.514461|0.026230|25|19
livsmedelsförsörjning|0.507817|0.027477|81|69
beredskap|0.507230|0.023476|1092|579
krishantering|0.505357|0.031619|261|103
försvarsförmåga|0.503085|0.027679|243|115
interoperabilitet|0.496622|0.032213|38|24
driftssäkerhet|0.494763|0.029152|6|5
rättssäkerhet|0.490802|0.029577|838|570
krishanteringsförmåga|0.490035|0.033998|78|28
hälsa|0.488564|0.019096|3407|1614
samverkansförmåga|0.486421|0.022020|1|1
välfärd|0.482904|0.020283|1717|908
driftsäkerhet|0.479875|0.039434|9|8
frihet|0.477970|0.012944|3459|1634
trygghet
term|score|std|term frequency|document frequency
frihet|0.661237|0.016058|3459|1634
delaktighet|0.644998|0.019730|626|453
otrygghet|0.631836|0.009525|587|436
tryggheten|0.601219|0.018831|887|560
välfärd|0.594969|0.017090|1717|908
tillit|0.590779|0.040721|223|177
rättstrygghet|0.586786|0.023012|249|148
värdighet|0.581928|0.014184|168|124
gemenskap|0.576819|0.021762|487|381
valfrihet|0.575728|0.012794|2921|1172
grundtrygghet|0.560877|0.032548|77|62
rättsäkerhet|0.554648|0.020836|11|11
stabilitet|0.548722|0.028197|679|420
rättssäkerhet|0.548537|0.020379|838|570
tillvaro|0.546340|0.025076|443|357
livskvalité|0.542977|0.029946|29|27
självkänsla|0.542212|0.024688|131|119
vardagsmiljö|0.541894|0.058000|4|4
säkerhet|0.540825|0.012573|3649|1905
livskvalitet|0.538933|0.015693|494|367
brott
term|score|std|term frequency|document frequency
våldsbrott|0.830545|0.008284|694|363
brotten|0.768120|0.015305|654|400
sexualbrott|0.736783|0.018114|469|185
brottet|0.719610|0.014090|1144|579
övergrepp|0.716895|0.013252|1052|499
våldtäkter|0.677072|0.026896|187|105
misshandelsbrott|0.672010|0.022738|82|57
gärningar|0.665832|0.011496|168|120
rattfylleribrott|0.660071|0.026227|47|31
barnpornografibrott|0.652643|0.034753|104|37
bedrägeribrott|0.643592|0.065737|26|17
gärningsmän|0.628514|0.040623|234|152
trafikbrott|0.627430|0.025118|72|49
brottslingar|0.625426|0.024750|678|310
