droger
term|score|std|term frequency|document frequency
narkotika|0.699506|0.021862|887|325
tika|0.631773|0.016480|2|2
alkohol|0.624039|0.033179|2319|647
narko|0.606841|0.018280|2|2
narkotikapreparat|0.592427|0.046787|14|14
kokain|0.591587|0.063884|44|30
zoonoser|0.582928|0.010748|3|3
tillhyggen|0.578400|0.065388|6|5
narkotikamissbruk|0.570859|0.044970|83|68
narkotikan|0.565992|0.039791|84|67
okontrollerade|0.561114|0.054877|24|23
dopningsmedel|0.556717|0.042357|33|20
cannabis|0.554102|0.061799|37|17
berusningsmedel|0.550076|0.056044|15|8
smuggelsprit|0.550071|0.049470|21|14
missbruket|0.546246|0.025231|251|189
dopingpreparat|0.546004|0.029564|12|6
knivar|0.542581|0.035963|21|17
missbruk|0.537584|0.033393|1241|670
langning|0.536380|0.031731|90|41
skatt
term|score|std|term frequency|document frequency
skatten|0.692027|0.017927|975|409
källskatt|0.670036|0.032335|13|11
beskattning|0.661884|0.015055|767|430
avgift|0.658263|0.013312|830|500
kupongskatt|0.628068|0.015930|3|3
punktskatt|0.626395|0.026504|30|20
moms|0.616469|0.023411|468|245
förmögenhetsskatt|0.608362|0.024360|113|41
bolagsskatt|0.606396|0.027558|52|28
inkomstskatt|0.602736|0.029309|124|73
fordonsskatt|0.598188|0.018980|85|57
försäkringspremier|0.597292|0.030676|18|17
kommunalskatt|0.593482|0.035814|56|36
skattesats|0.592690|0.028067|75|47
fastighetsskatt|0.589620|0.016880|317|114
mervärdesskatt|0.582577|0.027769|119|79
premie|0.580662|0.013727|56|48
ränta|0.571316|0.018719|251|161
förvärvsinkomster|0.570526|0.013440|29|19
reavinstskatt|0.568981|0.049067|44|20
säkerhet
term|score|std|term frequency|document frequency
pålitlighet|0.573449|0.023899|20|16
tillförlitlighet|0.541116|0.017818|50|45
rustningskontroll|0.533724|0.024086|8|5
trovärdighet|0.530243|0.018991|251|190
kapacitet|0.522265|0.019107|1202|848
tillgänglighet|0.515378|0.022685|1714|948
funktionalitet|0.513403|0.039035|41|34
driftsäkerhet|0.512313|0.021127|20|17
synlighet|0.506414|0.027335|30|21
rättssäkerhet|0.505359|0.032582|438|323
budgetdisciplin|0.504626|0.032040|4|4
terrängskoterförare|0.504374|0.183868|1|1
incidentberedskap|0.503397|0.033016|6|4
samverkansförmåga|0.500932|0.037064|2|2
kerhet|0.499119|0.021177|2|2
sjösäkerhet|0.495864|0.026823|74|48
trafiksäkerhet|0.489517|0.021814|548|356
flygsäkerhet|0.489350|0.065036|15|15
tillit|0.487897|0.045523|122|106
robusthet|0.486611|0.031287|39|33
trygghet
term|score|std|term frequency|document frequency
otrygghet|0.614745|0.031736|446|350
grundtrygghet|0.582994|0.033046|29|29
inkomsttrygghet|0.581111|0.020567|65|44
tryggheten|0.576332|0.025025|578|422
frihet|0.573280|0.014172|1212|838
gemenskap|0.556044|0.019229|443|391
rättstrygghet|0.536691|0.031331|45|35
livskvalitet|0.527799|0.014401|528|425
sammanhållning|0.525666|0.028599|129|111
delaktighet|0.524069|0.028226|885|658
valfrihet|0.522125|0.030420|473|323
rättssäkerhet|0.509933|0.029163|438|323
välfärd|0.504017|0.028478|1766|1055
självkänsla|0.501982|0.018316|175|165
trygg|0.499647|0.021055|659|537
rättsäkerhet|0.489872|0.017621|16|16
framtidstro|0.487873|0.036714|297|241
arbetsglädje|0.486821|0.039779|14|13
anställningstrygghet|0.484365|0.036035|157|115
tillit|0.484091|0.027468|122|106
brott
term|score|std|term frequency|document frequency
brotten|0.774925|0.019849|268|183
övergrepp|0.750790|0.013366|1747|634
våldsbrott|0.749207|0.014958|221|154
sexualbrott|0.739140|0.011191|283|133
brottet|0.732246|0.017279|416|259
gärningar|0.694761|0.013689|48|47
förseelser|0.684408|0.025751|60|48
barnpornografibrott|0.680466|0.032304|76|41
krigsförbrytelser|0.678254|0.034396|47|26
bidragsbrott|0.672397|0.024921|22|10
bedrägeribrott|0.659108|0.035266|2|2
miljöbrott|0.658958|0.028707|48|24
hatbrott|0.658194|0.031722|192|40
trafikbrott|0.654422|0.024186|68|43
mutbrott|0.651359|0.034175|27|13
jaktbrott|0.639548|0.042165|8|4
våldtäktsbrott|0.634523|0.039843|16|11
misshandelsbrott|0.629252|0.018179|71|25
rattfylleribrott|0.623649|0.029948|34|18
lagbrott|0.622106|0.042060|36|34
brottslighet
term|score|std|term frequency|document frequency
brottsligheten|0.631987|0.026400|1303|454
kriminalitet|0.610298|0.038521|509|327
narkotikabrottslighet|0.608361|0.065945|11|9
skattefusk|0.604008|0.034276|372|147
miljöbrottslighet|0.603954|0.036380|8|5
ekobrott|0.587482|0.044027|135|73
ekobrottslighet|0.584286|0.051555|52|33
underrättelseverksamhet|0.581449|0.023911|28|19
narkotikabrottsligheten|0.574988|0.033526|33|21
terroristbrottslighet|0.571790|0.028582|4|4
smuggling|0.569664|0.029387|147|88
kriminaliteten|0.566142|0.039876|113|72
vinning|0.563580|0.021126|66|52
narkotikasmuggling|0.557672|0.030401|34|30
utsatthet|0.556064|0.035614|408|316
bedrägerier|0.554813|0.033298|90|60
bedrägeri|0.553787|0.022065|42|34
skattebrott|0.550066|0.049147|176|83
ekobrottsligheten|0.543276|0.045682|106|33
alkoholsmuggling|0.541261|0.082311|6|6
kriminalitet
term|score|std|term frequency|document frequency
drogmissbruk|0.624216|0.027304|97|79
radikalisering|0.610316|0.024042|5|4
brottslighet|0.610298|0.038521|1686|682
depression|0.585532|0.029970|159|128
extremism|0.558342|0.032976|60|30
misär|0.549084|0.042328|68|61
marginalisering|0.539714|0.027993|31|29
intolerans|0.533290|0.026917|87|59
fattigdom|0.530452|0.029927|821|370
hemlöshet|0.523607|0.029550|311|73
ordningsstörningar|0.521636|0.018572|12|6
kriminaliteten|0.520457|0.027592|113|72
ohälsa|0.516425|0.028673|1381|791
polarisering|0.511822|0.039330|48|42
våldsbejakande|0.511232|0.025890|36|14
segregation|0.510840|0.028678|400|282
narkotikamissbruk|0.510089|0.041600|83|68
stigmatisering|0.509989|0.025870|45|38
utsatthet|0.509915|0.031845|408|316
fientlighet|0.509080|0.017213|7|7
jämlikhet
term|score|std|term frequency|document frequency
rättvisa|0.683228|0.016575|1058|702
jämställdhet|0.681904|0.019733|1555|766
delaktighet|0.571662|0.023492|885|658
sammanhållning|0.568803|0.023163|129|111
integration|0.562948|0.027266|804|477
demokrati|0.561782|0.015651|2162|1064
tolerans|0.558072|0.018452|139|119
ställdhet|0.549177|0.023734|1|1
likvärdighet|0.547488|0.024164|140|92
ojämlikhet|0.536884|0.035572|156|131
valfrihet|0.536415|0.028199|473|323
ickediskriminering|0.528251|0.024298|37|29
likformighet|0.513659|0.025056|108|62
mediemångfald|0.504536|0.051379|1|1
inkludering|0.503339|0.023543|28|21
humanitet|0.498478|0.046606|23|20
lönespridning|0.492203|0.028867|9|7
välfärd|0.489819|0.026527|1766|1055
folkhälsa|0.481456|0.024625|307|201
solidaritet|0.478567|0.017043|421|292
solidaritet
term|score|std|term frequency|document frequency
fred|0.577049|0.026940|1112|406
solidariteten|0.552044|0.044404|101|73
demokrati|0.551283|0.015496|2162|1064
sammanhållning|0.546940|0.031325|129|111
humanism|0.530546|0.044973|43|26
gemenskap|0.525710|0.022119|443|391
integration|0.520640|0.021497|804|477
världsordning|0.512161|0.018453|32|25
fattigdom|0.507945|0.015149|821|370
rättighetsperspektivet|0.497518|0.021597|10|9
människosyn|0.496065|0.040057|63|56
fattigdomsminskning|0.490885|0.029193|8|6
värderingar|0.488079|0.025607|726|498
demokratisering|0.487359|0.023885|123|65
samhällsutveckling|0.487241|0.016911|231|191
människovärdet|0.486884|0.036891|56|37
försoning|0.482341|0.048534|75|42
tolerans|0.481319|0.044534|139|119
jämlikhet|0.478567|0.017043|484|317
polarisering|0.477978|0.034063|48|42
rättvisa
term|score|std|term frequency|document frequency
jämlikhet|0.683228|0.016575|484|317
likformighet|0.593992|0.018001|108|62
rättvis|0.588396|0.019658|896|552
proportionalitet|0.558810|0.021309|26|22
neutralitet|0.555296|0.028980|126|81
förutsägbarhet|0.553193|0.031689|49|45
jämställdhet|0.546585|0.024847|1555|766
konkurrensneutralitet|0.532408|0.023266|155|113
rättvisare|0.531919|0.019391|188|154
förutsebarhet|0.531054|0.022286|20|17
